name	indicator	date	value
AFG	NY.ADJ.AEDU.CD	2014	6.07320259739302e8
AFG	NY.ADJ.AEDU.CD	2013	5.73021087651835e8
AFG	NY.ADJ.AEDU.CD	2012	4.26770431710475e8
AFG	NY.ADJ.AEDU.CD	2011	5.05735687655347e8
AFG	NY.ADJ.AEDU.CD	2010	4.48388745723924e8
AFG	NY.ADJ.AEDU.CD	2009	3.44713151613121e8
BGD	NY.ADJ.AEDU.CD	2018	
BGD	NY.ADJ.AEDU.CD	2017	3.23583073284727e9
BGD	NY.ADJ.AEDU.CD	2016	2.91224765956254e9
BGD	NY.ADJ.AEDU.CD	2015	2.97355058816741e9
BGD	NY.ADJ.AEDU.CD	2014	2.97092467581961e9
BGD	NY.ADJ.AEDU.CD	2013	2.91547240334293e9
BGD	NY.ADJ.AEDU.CD	2012	2.8778377216645e9
BGD	NY.ADJ.AEDU.CD	2011	2.737025412282e9
BGD	NY.ADJ.AEDU.CD	2010	2.22442689401164e9
BGD	NY.ADJ.AEDU.CD	2009	1764900000
BTN	NY.ADJ.AEDU.CD	2018	
BTN	NY.ADJ.AEDU.CD	2017	1.58074468220205e8
BTN	NY.ADJ.AEDU.CD	2016	1.38888863526959e8
BTN	NY.ADJ.AEDU.CD	2015	1.30889848580962e8
BTN	NY.ADJ.AEDU.CD	2014	1.08760323389251e8
BTN	NY.ADJ.AEDU.CD	2013	8.54007744559755e7
BTN	NY.ADJ.AEDU.CD	2012	7.12054116940073e7
BTN	NY.ADJ.AEDU.CD	2011	5.75024008889e7
BTN	NY.ADJ.AEDU.CD	2010	4.56734928545e7
BTN	NY.ADJ.AEDU.CD	2009	4.88102460048e7
IND	NY.ADJ.AEDU.CD	2018	
IND	NY.ADJ.AEDU.CD	2017	79156000000
IND	NY.ADJ.AEDU.CD	2016	69300000000
IND	NY.ADJ.AEDU.CD	2015	64064000000
IND	NY.ADJ.AEDU.CD	2014	62216000000
IND	NY.ADJ.AEDU.CD	2013	56364000000
IND	NY.ADJ.AEDU.CD	2012	55748000000
IND	NY.ADJ.AEDU.CD	2011	55748000000
IND	NY.ADJ.AEDU.CD	2010	51128000000
IND	NY.ADJ.AEDU.CD	2009	40964000000
LKA	NY.ADJ.AEDU.CD	2018	
LKA	NY.ADJ.AEDU.CD	2017	1.96202703688021e9
LKA	NY.ADJ.AEDU.CD	2016	2.01829388995734e9
LKA	NY.ADJ.AEDU.CD	2015	1.45027110908932e9
LKA	NY.ADJ.AEDU.CD	2014	1.23078657864887e9
LKA	NY.ADJ.AEDU.CD	2013	9.43193093614027e8
LKA	NY.ADJ.AEDU.CD	2012	9.612542314661e8
LKA	NY.ADJ.AEDU.CD	2011	1.0859718247728e9
LKA	NY.ADJ.AEDU.CD	2010	9.53846379724e8
LKA	NY.ADJ.AEDU.CD	2009	7.235061107562e8
MDV	NY.ADJ.AEDU.CD	2018	
MDV	NY.ADJ.AEDU.CD	2017	2.02776838796746e8
MDV	NY.ADJ.AEDU.CD	2016	1.86333161319883e8
MDV	NY.ADJ.AEDU.CD	2015	1.82278974730029e8
MDV	NY.ADJ.AEDU.CD	2014	1.27403365231695e8
MDV	NY.ADJ.AEDU.CD	2013	1.24434376030211e8
MDV	NY.ADJ.AEDU.CD	2012	1.45601037097e8
MDV	NY.ADJ.AEDU.CD	2011	9.59118362593527e7
MDV	NY.ADJ.AEDU.CD	2010	1.05236388754836e8
MDV	NY.ADJ.AEDU.CD	2009	1.35087740483048e8
NPL	NY.ADJ.AEDU.CD	2018	
NPL	NY.ADJ.AEDU.CD	2017	8.16829414466285e8
NPL	NY.ADJ.AEDU.CD	2016	6.97854403158491e8
NPL	NY.ADJ.AEDU.CD	2015	7.05946327061465e8
NPL	NY.ADJ.AEDU.CD	2014	6.97502754298513e8
NPL	NY.ADJ.AEDU.CD	2013	5.8871212231789e8
NPL	NY.ADJ.AEDU.CD	2012	6.13435266567227e8
NPL	NY.ADJ.AEDU.CD	2011	6.25918705643608e8
NPL	NY.ADJ.AEDU.CD	2010	5.06599793207483e8
NPL	NY.ADJ.AEDU.CD	2009	5.46328063092e8
PAK	NY.ADJ.AEDU.CD	2018	
PAK	NY.ADJ.AEDU.CD	2017	6.52806430686815e9
PAK	NY.ADJ.AEDU.CD	2016	6.000953524326e9
PAK	NY.ADJ.AEDU.CD	2015	5.58464364062058e9
PAK	NY.ADJ.AEDU.CD	2014	4.81012249778204e9
PAK	NY.ADJ.AEDU.CD	2013	4.34494070782464e9
PAK	NY.ADJ.AEDU.CD	2012	3.82088890338806e9
PAK	NY.ADJ.AEDU.CD	2011	3233500000
PAK	NY.ADJ.AEDU.CD	2010	2778400000
PAK	NY.ADJ.AEDU.CD	2009	3200500000
AFG	SE.XPD.CPRM.ZS	2018	
AFG	SE.XPD.CPRM.ZS	2017	88.641
AFG	SE.XPD.CPRM.ZS	2016	86.34567
AFG	SE.XPD.CPRM.ZS	2015	84.52097
AFG	SE.XPD.CPRM.ZS	2014	83.58745
AFG	SE.XPD.CPRM.ZS	2013	84.10759
AFG	SE.XPD.CPRM.ZS	2012	89.26381
AFG	SE.XPD.CPRM.ZS	2011	84.10939
AFG	SE.XPD.CPRM.ZS	2010	82.66526
AFG	SE.XPD.CPRM.ZS	2009	
BGD	SE.XPD.CPRM.ZS	2018	
BGD	SE.XPD.CPRM.ZS	2017	
BGD	SE.XPD.CPRM.ZS	2016	
BGD	SE.XPD.CPRM.ZS	2015	
BGD	SE.XPD.CPRM.ZS	2014	
BGD	SE.XPD.CPRM.ZS	2013	
BGD	SE.XPD.CPRM.ZS	2012	100
BGD	SE.XPD.CPRM.ZS	2011	100
BGD	SE.XPD.CPRM.ZS	2010	
BGD	SE.XPD.CPRM.ZS	2009	78.44987
BTN	SE.XPD.CPRM.ZS	2018	
BTN	SE.XPD.CPRM.ZS	2017	
BTN	SE.XPD.CPRM.ZS	2016	
BTN	SE.XPD.CPRM.ZS	2015	87.39642
BTN	SE.XPD.CPRM.ZS	2014	
BTN	SE.XPD.CPRM.ZS	2013	97.57677
BTN	SE.XPD.CPRM.ZS	2012	
BTN	SE.XPD.CPRM.ZS	2011	
BTN	SE.XPD.CPRM.ZS	2010	
BTN	SE.XPD.CPRM.ZS	2009	
IND	SE.XPD.CPRM.ZS	2018	
IND	SE.XPD.CPRM.ZS	2017	
IND	SE.XPD.CPRM.ZS	2016	
IND	SE.XPD.CPRM.ZS	2015	
IND	SE.XPD.CPRM.ZS	2014	
IND	SE.XPD.CPRM.ZS	2013	
IND	SE.XPD.CPRM.ZS	2012	
IND	SE.XPD.CPRM.ZS	2011	
IND	SE.XPD.CPRM.ZS	2010	
IND	SE.XPD.CPRM.ZS	2009	
LKA	SE.XPD.CPRM.ZS	2018	80.85154
LKA	SE.XPD.CPRM.ZS	2017	85.70718
LKA	SE.XPD.CPRM.ZS	2016	73.56205
LKA	SE.XPD.CPRM.ZS	2015	95.33808
LKA	SE.XPD.CPRM.ZS	2014	94.7403
LKA	SE.XPD.CPRM.ZS	2013	87.274
LKA	SE.XPD.CPRM.ZS	2012	88.89268
LKA	SE.XPD.CPRM.ZS	2011	92.98175
LKA	SE.XPD.CPRM.ZS	2010	92.09413
LKA	SE.XPD.CPRM.ZS	2009	93.14361
MDV	SE.XPD.CPRM.ZS	2018	
MDV	SE.XPD.CPRM.ZS	2017	
MDV	SE.XPD.CPRM.ZS	2016	99.09361
MDV	SE.XPD.CPRM.ZS	2015	98.90458
MDV	SE.XPD.CPRM.ZS	2014	99.19529
MDV	SE.XPD.CPRM.ZS	2013	99.31144
MDV	SE.XPD.CPRM.ZS	2012	98.69155
MDV	SE.XPD.CPRM.ZS	2011	98.82076
MDV	SE.XPD.CPRM.ZS	2010	98.81732
MDV	SE.XPD.CPRM.ZS	2009	99.75381
