region,country,year,event_type,num_events,sum(fatalities)
Southern Asia,Nepal,2014,Violence against civilians,7,2
Southern Asia,Nepal,2014,Strategic developments,1,0
Southern Asia,Nepal,2014,Riots,54,2
Southern Asia,Nepal,2014,Protests,181,0
Southern Asia,Nepal,2014,Explosions/Remote violence,6,2
Southern Asia,Nepal,2014,Battles,1,0
Southern Asia,Nepal,2015,Violence against civilians,10,1
Southern Asia,Nepal,2015,Strategic developments,3,0
Southern Asia,Nepal,2015,Riots,366,43
Southern Asia,Nepal,2015,Protests,371,6
Southern Asia,Nepal,2015,Explosions/Remote violence,4,0
Southern Asia,Nepal,2015,Battles,4,1
Southern Asia,Nepal,2016,Violence against civilians,7,3
Southern Asia,Nepal,2016,Strategic developments,9,0
Southern Asia,Nepal,2016,Riots,106,4
Southern Asia,Nepal,2016,Protests,273,0
Southern Asia,Nepal,2016,Explosions/Remote violence,1,0
Southern Asia,Nepal,2016,Battles,2,1
Southern Asia,Nepal,2017,Violence against civilians,13,3
Southern Asia,Nepal,2017,Strategic developments,34,0
Southern Asia,Nepal,2017,Riots,186,13
Southern Asia,Nepal,2017,Protests,235,0
Southern Asia,Nepal,2017,Explosions/Remote violence,72,2
Southern Asia,Nepal,2017,Battles,4,0
Southern Asia,Nepal,2018,Violence against civilians,32,7
Southern Asia,Nepal,2018,Strategic developments,35,0
Southern Asia,Nepal,2018,Riots,141,4
Southern Asia,Nepal,2018,Protests,403,0
Southern Asia,Nepal,2018,Explosions/Remote violence,27,0
Southern Asia,Nepal,2018,Battles,4,2
Southern Asia,Nepal,2019,Violence against civilians,78,14
Southern Asia,Nepal,2019,Strategic developments,102,1
Southern Asia,Nepal,2019,Riots,392,7
Southern Asia,Nepal,2019,Protests,1467,0
Southern Asia,Nepal,2019,Explosions/Remote violence,44,5
Southern Asia,Nepal,2019,Battles,16,7
Southern Asia,Pakistan,2010,Violence against civilians,381,570
Southern Asia,Pakistan,2010,Strategic developments,31,0
Southern Asia,Pakistan,2010,Riots,334,41
Southern Asia,Pakistan,2010,Protests,3549,12
Southern Asia,Pakistan,2010,Explosions/Remote violence,666,3797
Southern Asia,Pakistan,2010,Battles,578,3119
Southern Asia,Pakistan,2011,Violence against civilians,304,490
Southern Asia,Pakistan,2011,Strategic developments,30,0
Southern Asia,Pakistan,2011,Riots,164,17
Southern Asia,Pakistan,2011,Protests,2349,2
Southern Asia,Pakistan,2011,Explosions/Remote violence,580,1991
Southern Asia,Pakistan,2011,Battles,292,1814
Southern Asia,Pakistan,2012,Violence against civilians,610,1042
Southern Asia,Pakistan,2012,Strategic developments,77,16
Southern Asia,Pakistan,2012,Riots,400,84
Southern Asia,Pakistan,2012,Protests,4467,14
Southern Asia,Pakistan,2012,Explosions/Remote violence,918,2453
Southern Asia,Pakistan,2012,Battles,500,2464
Southern Asia,Pakistan,2013,Violence against civilians,421,664
Southern Asia,Pakistan,2013,Strategic developments,25,0
Southern Asia,Pakistan,2013,Riots,288,68
Southern Asia,Pakistan,2013,Protests,4005,4
Southern Asia,Pakistan,2013,Explosions/Remote violence,750,2074
Southern Asia,Pakistan,2013,Battles,419,1428
Southern Asia,Pakistan,2014,Violence against civilians,355,639
Southern Asia,Pakistan,2014,Strategic developments,26,0
